station_code;category;unit;description;status;maps;latitude;longitude;altitude;province;city;district;subdistrict;network;start_date;address
LPSM;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=1.7081,100.7199;1.7081;100.7199;110;Sumatera Barat;Pesisir Selatan;Lengayang;Lakitan Utara;;2019-10-01;Jalan Lintas Padang - Painan
LRTI;Stasiun Gempa Bumi;;Stageof Alor;;https://www.google.com/maps?q=-8.2752,123.001053;-8.2752;123.001053;59;Nusa Tenggara Timur;Larantuka;Ilemandiri;Tiwatobi;;2012-01-01;Jl. Soekarno Hatta No. 76 Larantuka Flores - NTT
LSCM;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-4.365,119.8987;-4.365;119.8987;109;Sulawesi Selatan;Soppeng;Lalabati Rilau;;;2019-10-01;Soppeng, Watansoppeng, Sulawesi Selatan, Sulawesi, 90811, Indonesia
LSNI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.96664,117.218262;-8.96664;117.218262;24;Nusa Tenggara Barat;Sumbawa;Lunyuk;;;2021-12-13;Lunyuk, Sumbawa, Nusa Tenggara Barat, Nusa Tenggara, Indonesia
LTNI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.76705,116.484749;-8.76705;116.484749;75;Nusa Tenggara Barat;Lombok Timur;;;;2021-12-08;Selayar, Lombok Timur, Nusa Tenggara Barat, Nusa Tenggara, Indonesia
LTNSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=1.336,97.32;1.336;97.32;;SumateraUtara;;;;;2023-01-01;Nias Utara, Sumatera Utara, Sumatera, Indonesia
LTSM;Stasiun Gempa Bumi;;Stageof Gunungsitoli;;https://www.google.com/maps?q=1.529182,98.930466;1.529182;98.930466;5;Sumatera Utara;Tapanuli Tengah;Lumut;;;2019-10-01;Aek Gambir, Tapanuli Tengah, Sumatera Utara, Sumatera, Indonesia
LUCM;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=-1.4262,120.3225;-1.4262;120.3225;1102;Sulawesi Tengah;Poso;Lore Utara;Wuasa;;2019-10-01;Wuasa
LUJI;Stasiun Gempa Bumi;;Stageof Pasuruan;;https://www.google.com/maps?q=-7.826,113.0107;-7.826;113.0107;604;Jawa Timur;Pasuruan;Lumbang;;;2019-10-01;Panditan, Pasuruan, Jawa Timur, Jawa, Indonesia
LUWI;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=-1.0418,122.7716;-1.0418;122.7716;6;Sulawesi Tengah;Banggai;Luwuk;Mahaas;;2008-03-12;Jalan Dr. Moh. Hatta Luwuk
MABKI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=2.2433,118.5676;2.2433;118.5676;;KalimantanTimur;;;;;2023-01-01;Maratua Payung-payung, Berau, Kalimantan Timur, Kalimantan, Indonesia
MAKBI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.487,115.505;-8.487;115.505;;Bali;;;;;2023-01-01;Kecamatan Manggis, Ulakan, Kecamatan Manggis, Karangasem, Bali, Nusa Tenggara, 80872, Indonesia
MAKKI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.582298,108.796982;-1.582298;108.796982;;KalimantanBarat;;;;;2023-01-01;Kepulauan Karimata, Kayong Utara, Kalimantan Barat, Kalimantan, Indonesia
MASFI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.537,122.032;-8.537;122.032;;NusaTenggaraTimur;;;;;2023-01-01;Dusun Mageloo, Reroroja, Sikka, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
MASM;Stasiun Gempa Bumi;;Stageof Aceh Besar;;https://www.google.com/maps?q=5.29865,95.596461;5.29865;95.596461;82;Aceh;Aceh Besar;Masjid Raya;Jantho Makmur;;2019-10-01;BPBD Aceh Besar, Jl. T. Bakhtiar P. Polem SH
MASSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=4.733,125.479;4.733;125.479;;SulawesiUtara;;;;;2023-01-01;SDN 2 Marore, Kepulauan Sangihe, Pulau Marore, Sulawesi Utara, Sulawesi, Indonesia
MBBI;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-1.540971,102.098751;-1.540971;102.098751;113;Jambi;Bungo;Rimbo Tengah;Sungai Mengkuang;;2019-10-01;Kantor Unit Pencarian & Pertolongan ( SAR ) Bungo Jl. Lintas Sumatra
MBJI;Stasiun Gempa Bumi;;Stageof Banjarnegara;;https://www.google.com/maps?q=-7.4488,109.6322;-7.4488;109.6322;390;Jawa Tengah;Banjanegara 53471;Bawang;Majalengka;;1900-01-01;Majalengka, Banjarnegara, Jawa Tengah, Jawa, Indonesia
MBPI;Stasiun Gempa Bumi;;Stageof Sorong;;https://www.google.com/maps?q=-2.035,133.7322;-2.035;133.7322;57;Papua Barat;Teluk Bintuni;Manimeri;Bumi Saniari;;2019-10-01;Jl. Manokwari - Bintuni (Sebelah BPBD Teluk Bintuni)
MBRPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.771,130.407;-1.771;130.407;;PapuaBarat;;;;;2023-01-01;Folley, Raja Ampat, Papua Barat Daya, Western New Guinea, Indonesia
MBSM;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-3.145292,101.837412;-3.145292;101.837412;37;Bengkulu;Bengkulu Utara;Marga Sakti Seblat;;;2019-10-01;Tanjung Harapan, Bengkulu Utara, Bengkulu, Sumatera, Indonesia
MDSI;Stasiun Gempa Bumi;;Stageof Tangerang;;https://www.google.com/maps?q=-4.486022,104.178236;-4.486022;104.178236;111;Sumatera Selatan;Ogan Komering Ulu Selatan, Muara Dua;Simpang;Desa Lubar;;2007-01-01;Desa Lubar
MGAI;Stasiun Gempa Bumi;;Stageof Manado;;https://www.google.com/maps?q=4.007971,126.678964;4.007971;126.678964;72;Sulawesi Utara;Talaud;Melonguane;Melonguane Tengah;;2012-01-01;Komp. Perkantoran Pemerintahan
MIBPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-5.879,140.709;-5.879;140.709;;Papua;;;;;2023-01-01;Bandar Udara Mindiptana, Mindiptanah, Boven Digoel, Papua Selatan, Western New Guinea, Indonesia
MIPI;Stasiun Gempa Bumi;;Stageof Nabire;;https://www.google.com/maps?q=-4.5301,136.8935;-4.5301;136.8935;30;Papua;Mimika;Mimika Baru;Kwamki;;2019-10-01;Jalan raya freeport Bandara Timika
MISSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=5.552612,126.58147;5.552612;126.58147;;SulawesiUtara;;;;;2023-01-01;Jalan Bandara, Desa Miangas, Kepulauan Sangihe, Sulawesi Utara, Sulawesi, Indonesia
MKBI;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-2.447355,101.239594;-2.447355;101.239594;48;Bengkulu;Muko - Muko;V Koto;Desa Lubuk Kabau;;2008-01-01;Desa Lubuk Kabau, Kec V Koto. Muko - Muko. Bengkulu
MKJM;Stasiun Gempa Bumi;;Stageof Banjarnegara;;https://www.google.com/maps?q=-7.662449,110.483806;-7.662449;110.483806;410;Jawa Tengah;Klaten;Manisrenggo;;;2019-10-01;Kepurun, Klaten, Jawa Tengah, Jawa, 57485, Indonesia
MKSM;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-4.571031,103.360263;-4.571031;103.360263;299.3;Bengkulu;Kaur;Muara Sahung;;;2019-10-01;Bukit Makmur, Kaur, Bengkulu, Sumatera, Indonesia
MLJI;Stasiun Gempa Bumi;;Stageof Malang;;https://www.google.com/maps?q=-8.1575,112.4467;-8.1575;112.4467;275;Jawa Timur;Malang;Sumber Pucung;Karangkates;;2018-10-30;Bendungan Sutami Perum Jasa Tirta I, Karangkates
MLJM;Stasiun Gempa Bumi;;Stageof Pasuruan;;https://www.google.com/maps?q=-7.2483,112.3379;-7.2483;112.3379;55;Jawa Timur;Lamongan;Mantup;;;2019-10-01;jl.Kedungpring Desa Sumberbendo
MLMMI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.148,127.792;-8.148;127.792;;Maluku;;;;;2023-01-01;Wakarlely, Tiakur, Maluku Barat Daya, Maluku, Indonesia
MMCI;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-2.9556,119.3628;-2.9556;119.3628;1.167;Sulawesi Barat;Mamasa;Mamasa;;;2019-10-01;Jalan Poros Mamasa Polewali (Kantor Bupati)
MMRI;Stasiun Gempa Bumi;;Stageof Kupang;;https://www.google.com/maps?q=-8.6357,122.2376;-8.6357;122.2376;2;Nusa Tenggara Timur;Sikka;Wai Oti;;;2006-11-10;Jl. Angkasa, Wai Oti Maumere
MMSI;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-2.6892,118.909;-2.6892;118.909;221;Sulawesi Barat;Mamuju;;;;2008-11-01;Simpang Lima
MNAI;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-4.360543,102.955713;-4.360543;102.955713;154;Bengkulu;Bengkulu Selatan;Pino;Batu Bandung;;2006-07-28;Jl.Pagar Alam - Manna
MNI;Stasiun Gempa Bumi;;Stageof Manado;;https://www.google.com/maps?q=1.444,124.84;1.444;124.84;191;Sulawesi Utara;Manado;Malalayang;WinangunSatu;;2006-02-02;Stasiun Geofisika Klas I Winangun Manado Jl. Harapan Winangun, Manado, Sulawesi Utara
MNSI;Stasiun Gempa Bumi;;Stageof Gunungsitoli;;https://www.google.com/maps?q=0.795628,99.579597;0.795628;99.579597;293;Sumatera Utara;Mandailing Natal;Panyabungan Kota;Parbangunan;;2010-01-01;Komplek Perkantoran Bupati Mandailing Natal
MPSI;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=0.3374,119.898;0.3374;119.898;174;Sulawesi Tengah;Donggala;Damsol;Lembah mukti;;2007-01-01;Jl. Tadulako
MPSM;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.5892,100.1384;0.5892;100.1384;195;Sumatera Barat;Pasaman;Mapat Tunggul;Lubuak Gadang;;2019-10-01;Nagari Lubuak Gadang, Pasaman, Sumatera Barat, Sumatera, Indonesia
MRSI;Stasiun Gempa Bumi;;Stageof Gorontalo;;https://www.google.com/maps?q=0.4771,121.9406;0.4771;121.9406;99;Sulawesi Utara;Marissa;Marissa;Pohuwato;;2007-01-01;Jl. Batu Pasang, Marisa
MSAI;Stasiun Gempa Bumi;;Stageof Ambon;;https://www.google.com/maps?q=-3.3462,128.9285;-3.3462;128.9285;82;Maluku;Maluku Tengah;Amahai;Ds. Amahai;;2006-01-01;Stasiun Meteorologi Klas III Amahai, Bandara Perintis Amahai
MSCM;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-2.534,120.332;-2.534;120.332;108;Sulawesi Selatan;Luwu Utara;Baebunta;;;2019-10-01;TK Mattola, Desa Meli, Kec. Baebunta, Luwu utara, Sulawesi Selatan
MSHHI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=0.629,128.425;0.629;128.425;;MalukuUtara;;;;;2023-01-01;Lokasi Pembanguna Masjid Baru Desa Gotowasi, Jalan Siswa, Halmahera Timur, Maluku Utara, Maluku, Indonesia
MTAI;Stasiun Gempa Bumi;;Stageof Ternate;;https://www.google.com/maps?q=2.198,128.2758;2.198;128.2758;34;Maluku Utara;Pulau Morotai, 97771;Morotai selatan barat;Usbar dalam;;1900-01-01;Jalan Mac Arthur - Trans Morotai, Ngele Ngele Kecil, Pulau Morotai, Maluku Utara, Maluku, Indonesia
MTCM;Stasiun Gempa Bumi;;Stageof Kendari;;https://www.google.com/maps?q=-2.61,121.118;-2.61;121.118;21;Sulawesi Selatan;Luwu Timur;Malili;Atue;;2019-10-01;Kantor Desa Atue
MTJPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-2.627,140.864;-2.627;140.864;;Papua;;;;;2023-01-01;Jayapura, Papua, Western New Guinea, Indonesia
MTKI;Stasiun Gempa Bumi;;Stageof Balikpapan;;https://www.google.com/maps?q=-0.9418,114.8959;-0.9418;114.8959;100;Kalimantan Tengah;Barito Utara;Teweh Tengah;Melayu;;2008-01-01;Jl. Pandreh No. 187
MTMPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-2.305,138.037;-2.305;138.037;;Papua;;;;;2023-01-01;Kasonaweja, Mamberamo Raya, Papua, Western New Guinea, 99376, Indonesia
MTMTI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-9.585,124.875;-9.585;124.875;;NusaTenggaraTimur;;;;;2023-01-01;Jalan Belu 2, Angkaes, Malaka, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
MTSI;Stasiun Gempa Bumi;;Stageof Gunungsitoli;;https://www.google.com/maps?q=2.15249,98.252374;2.15249;98.252374;10;Sumatera Utara;Tapanuli Tengah;Manduamas;Perluasan;;2019-10-01;Lingkungan 2 pasar baru
MTSM;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-4.479127,103.50609;-4.479127;103.50609;803;Sumatera Selatan;Oku Selatan;Muara Dua;;;2019-10-01;Kancor Camat Sungai Are
MUMUI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.785,125.481;-1.785;125.481;;MalukuUtara;;;;;2023-01-01;Falabisahaya, Kepulauan Sula, Maluku Utara, Maluku, Indonesia
MUTSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=2.3,98.965;2.3;98.965;;SumateraUtara;;;;;2023-01-01;Huta Ginjang, Tapanuli Utara, Sumatera Utara, Sumatera, 22474, Indonesia
MWPI;Stasiun Gempa Bumi;;Stageof Sorong;;https://www.google.com/maps?q=-0.9258,134.0431;-0.9258;134.0431;30;Papua Barat;Manokwari;Manokwari;Manokwari Barat;;2009-07-01;Harvai
NANFI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.761,121.302;-8.761;121.302;;NusaTenggaraTimur;;;;;2023-01-01;Nagekeo, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
NBMI;Stasiun Gempa Bumi;;Stageof Ambon;;https://www.google.com/maps?q=-3.7113,126.419;-3.7113;126.419;59;Maluku;Buru Selatan;Namrole;;;2019-10-01;Gudang Logistik BPBD, Desa lek tama
NBPI;Stasiun Gempa Bumi;;Stageof Nabire;;https://www.google.com/maps?q=-3.3656,135.4972;-3.3656;135.4972;98;Papua;Nabire;Nabire;Nabire;;2009-01-01;Jl. Sisingamangaraja, Morgo, Kec. Nabire, Kabupaten Nabire, Papua 98811
NGJI;Stasiun Gempa Bumi;;Stageof Nganjuk;;https://www.google.com/maps?q=-7.3676,111.4612;-7.3676;111.4612;149;Jawa Timur;Ngawi;Ngawi;Desa Kerek;;2007-01-01;Desa Kerek, Ngawi
NJBM;Stasiun Gempa Bumi;;Stageof Denpasar;;https://www.google.com/maps?q=-8.3099,114.6171;-8.3099;114.6171;199;Bali;Jembrana;Negara;Berambang;;2020-11-15;Banjar Pengajaran
NKBI;Stasiun Gempa Bumi;;Stageof Denpasar;;https://www.google.com/maps?q=-8.726115,115.5259633;-8.726115;115.5259633;452;Bali;Klungkung;Nusa Penida;;;2019-10-01;Sunset viewpoint, Jalan Raya Senangka, Klumpu, Nusa Penida Subdistrict, Klungkung, Bali, Nusa Tenggara, 80771, Indonesia
NKKI;Stasiun Gempa Bumi;;Stageof Sleman;;https://www.google.com/maps?q=-1.56,110.5666;-1.56;110.5666;79;Kalimantan Barat;Ketapang;Nanga Tayap;Nanga Tayap;;2019-10-01;Jl. A. Yani No.22
NSBMM;Stasiun Gempa Bumi;;Stageof Ambon;;https://www.google.com/maps?q=-3.0828,128.2096;-3.0828;128.2096;86;Maluku;Seram Bagian Barat (Kota Piru);Seram Barat;Neniari;;2020-11-01;Kantor Dinas PUPR Kab. Seram Bagian Barat, Jln Trans Seram, Kel. Neniari Kec. Seram Barat Kota Piru - Seram Bagian Barat
OBMI;Stasiun Gempa Bumi;;Stageof Ternate;;https://www.google.com/maps?q=-1.3414,127.6444;-1.3414;127.6444;110;Maluku Utara;Labuha;Desa Buton;Desa Buton;;2011-01-01;Desa Buton
OBMPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-6.555,139.3;-6.555;139.3;;Papua;;;;;2023-01-01;Kepi, Mappi, Papua Selatan, Western New Guinea, Indonesia
OMBFM;Stasiun Gempa Bumi;;Stageof Sumba Timur;;https://www.google.com/maps?q=-8.691,119.8247;-8.691;119.8247;102;Nusa Tenggara Timur;Manggarai Barat;Komodo;;;2020-11-01;Manggarai Barat, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
ONSM;Stasiun Gempa Bumi;;Stageof Deli Serdang;;https://www.google.com/maps?q=2.1598,98.63;2.1598;98.63;1152;Sumatera Utara;Humbang Hasundutan;Onan Ganjang;;;2019-10-01;Jl. Pakkat - Dolok Sanggul 35-45, Onan Ganjang
PAASI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=5.671,95.129;5.671;95.129;;Aceh;;;;;2023-01-01;Blang Krueng, Pulo Aceh, Aceh Besar, Aceh, Sumatera, Indonesia
PABI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.123443,99.871797;0.123443;99.871797;155;Sumatera Barat;Pasaman Barat;Pasaman;Nagari;;2019-10-01;Jl. Aua Kuniang Pasaman Barat
PABKI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-3.112172,115.36422;-3.112172;115.36422;;KalimantanSelatan;;;;;2023-01-01;Angkipih, Banjar, Kalimantan Selatan, Kalimantan, Indonesia
PAFM;Stasiun Gempa Bumi;;Stageof Alor;;https://www.google.com/maps?q=-8.3832,124.1283;-8.3832;124.1283;77;Nusa Tenggara Timur;Alor;Pantar Tengah;;;2020-11-01;Alor, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
PAKI;Stasiun Gempa Bumi;;Stageof Balikpapan;;https://www.google.com/maps?q=-1.909218,116.19141;-1.909218;116.19141;17;Kalimantan Timur;Paser;;;;2021-12-13;Pengadilan Tana Paser, Jenderal Sudirman, Tanah Grogot, Paser, Kalimantan Timur, Kalimantan, 76251, Indonesia
PASJI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-6.212,105.9835;-6.212;105.9835;;Banten;;;;;2023-01-01;Batukuwung, Kab Serang, Banten, Jawa, Indonesia
PASMI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-2.9646,100.2028;-2.9646;100.2028;;SumateraBarat;;;;;2023-01-01;Malakopa, Kepulauan Mentawai, Sumatera Barat, Sumatera, Indonesia
PBCI;Stasiun Gempa Bumi;;Stageof Manado;;https://www.google.com/maps?q=0.383,124.0396;0.383;124.0396;95;Sulawesi Utara;Bolaang Mongondow Selatan;Bolaang Uki;Desa Tabilaa;;2019-10-01;Tabilaa, Bolaang Mongondow Selatan, Sulawesi Utara, Sulawesi, Indonesia
PBJI;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-7.087373,107.475775;-7.087373;107.475775;1098;Jawa Barat;Bandung;Pasirjambu;Margamulya;;2019-10-01;Jl Batu Reok 24, Pasirjambu, Kec. Pasirjambu, Bandung, Jawa Barat 40972
PBKI;Stasiun Gempa Bumi;;Stageof Balikpapan;;https://www.google.com/maps?q=-2.7047,111.6697;-2.7047;111.6697;75;Kalimantan Tengah;Kotawaringin Barat;Arut Selatan;Desa Pasir Panjang;;2006-01-01;Stasiun Meteorologi Klas III, Jl. Pramuka, Pangkalan Bun
PBLI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.8218,116.2778;-8.8218;116.2778;106;Nusa Tenggara Barat;Lombok Tengah;Praya Barat;Penujak;;2019-10-01;Perumahan BMKG Stasiun Meteorologi ZAM
PBMMI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-7.86,129.597;-7.86;129.597;;Maluku;;;;;2023-01-01;Tepa, Maluku Barat Daya, Maluku, Indonesia
PBMSI;Stasiun Gempa Bumi;;Stageof Manado;;https://www.google.com/maps?q=0.995298,124.282277;0.995298;124.282277;;Sulawesi Utara;;;;;2022-01-01;Trans Sulawesi, Dusun Lima Poigar, Bolaang Mongondow, Sulawesi Utara, Sulawesi, 95753, Indonesia
PBNI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.755,118.56852;-8.755;118.56852;242;Nusa Tenggara Barat;Bima;Parado;;;2021-12-13;Jalan Lintas Parado, Parado Wane, Bima, Nusa Tenggara Barat, Nusa Tenggara, Indonesia
PBSI;Stasiun Gempa Bumi;;Stageof Gunungsitoli;;https://www.google.com/maps?q=-0.054664,98.279996;-0.054664;98.279996;47;Sumatera Utara;Nias Selatan;Pulau Batu;Pasar Tello;;2007-01-01;Jalan Kampung Cina
PCI;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=-0.9055,119.8367;-0.9055;119.8367;150;Sulawesi Tengah;Palu;Palu Barat;Balaroa;;2005-01-01;Jl. Sumur Yuga No. 04 Balaroa Palu Barat, Sulawesi Tengah
PCJI;Stasiun Gempa Bumi;;Stageof Nganjuk;;https://www.google.com/maps?q=-8.1947,111.1771;-8.1947;111.1771;702;Jawa Timur;Pacitan;Kebon Agung;Desa Punjung;;2007-01-01;Dusun Ngampungan RT. 01 / RW. 03
PCJM;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-6.912882,108.719182;-6.912882;108.719182;646.1;Jawa Barat;Cirebon;Pabuaran;Sukadana;;2019-10-01;Jl. Prabu Kiansantang, Kantor Desa Sukadana
PDLI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.1037,117.8729;-8.1037;117.8729;130;Nusa Tenggara Barat;Dompu;Pekat;Calabai;;2019-10-01;Kantor Camat Pekat, Sumbawa, NTB
PDSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-0.9118,100.4617;-0.9118;100.4617;276;Sumatera Barat;Padang;Pauh;Limau Manih;;2006-01-01;Universitas Andalas Fakultas MIPA Fisika
PGJM;Stasiun Gempa Bumi;;Stageof Sleman;;https://www.google.com/maps?q=-8.0102,110.4142;-8.0102;110.4142;361;Yogyakarta;Gunung Kidul;Panggang;Giriharjo;;2020-11-01;Giriharjo, Panggang, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta, Jawa, Indonesia
PICM;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=-0.711,120.0887;-0.711;120.0887;40;Sulawesi Tengah;Parigi Moutong;Parigi Utara;;;2019-10-01;Toboli
PKCI;Stasiun Gempa Bumi;;Stageof Kendari;;https://www.google.com/maps?q=-4.2918,122.481;-4.2918;122.481;201;Sulawesi Tenggara;Andoolo;Palangga;Desa Wawonggura;;2019-10-01;Jalan Poros Kendari
PKJI;Stasiun Gempa Bumi;;Stageof Banjarnegara;;https://www.google.com/maps?q=-7.167668,109.579443;-7.167668;109.579443;847;Jawa Tengah;Pekalongan;Paninggaran;;;2019-10-01;174, Pesantren, Paninggaran, Pekalongan, Jawa Tengah, Jawa, Indonesia
PKJM;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-6.79583,108.43981;-6.79583;108.43981;290;Jawa Barat;Kuningan;Pasawahan;;;2019-10-01;Cidahu, Kuningan, Jawa Barat, Jawa, 45558, Indonesia
PKSI;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-4.0427,103.26386;-4.0427;103.26386;741;Sumatera Selatan;Pagar Alam;Pagar Alam Utara;;;2019-10-01;Jalan Lesung Batu, Pagar Alam Selatan, Pagar Alam, Sumatera Selatan, Sumatera, Indonesia
PLAI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.7006,117.7219;-8.7006;117.7219;125;Nusa Tenggara Barat;Sumbawa;Plampang;;;2011-03-04;Jalan Garuda no 43 Sumbawa Besar 84312
PLJI;Stasiun Gempa Bumi;;Stageof Malang;;https://www.google.com/maps?q=-7.8616,112.1548;-7.8616;112.1548;213.9;Jawa Timur;Kediri;Plosoklaten;;;2019-10-01;Plosolor, Kabupaten Kediri, Jawa Timur, Jawa, Indonesia
PLSI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.237331,100.55391;0.237331;100.55391;133;Sumatera Barat;Lima Puluh Koto;Pangkalan Koto Baru;;;2019-10-01;Lima Puluh Kota, Sumatera Barat, Sumatera, Indonesia
PLSM;Stasiun Gempa Bumi;;Stageof Deli Serdang;;https://www.google.com/maps?q=1.0576,99.7759;1.0576;99.7759;88;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Huta Lombang;;2019-10-01;JL. Lintas Gunung Tua- Langga Payung Di Paranginan
PMBI;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-2.901706,104.699676;-2.901706;104.699676;25;Sumatera Selatan;Palembang;;;;2005-12-01;Bandar Udara Sultan Mahmud Badaruddin II, Jalan Boster KM 12, Alang-Alang Lebar, Palembang, Sumatera Selatan, Sumatera, 30154, Indonesia
PMCI;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-1.1748,119.398;-1.1748;119.398;77;Sulawesi Barat;Poso;Poso Pesisir;Kasiguncu;;2012-01-01;Jl. Bandar Udara Kasiguncu No.22
PMMI;Stasiun Gempa Bumi;;Stageof Ternate;;https://www.google.com/maps?q=0.372,127.4158;0.372;127.4158;90;Maluku Utara;Halmahera Selatan;Pulau Makian;Waikyon;;2019-10-01;Jl. SMK Negeri No. 1
PMSI;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-3.5008,118.9149;-3.5008;118.9149;306;Sulawesi Barat;Majene;Pamboang;Desa Buttu Pamboang / Desa Bababulo;;2006-01-01;Dusun Buttu Pamboang / Desa Bababulo
POBSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-4.74,122.002;-4.74;122.002;;SulawesiTenggara;;;;;2023-01-01;Lerentapupu, Bombana, Sulawesi Tenggara, Sulawesi, Indonesia
POCI;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=-1.42032,120.657;-1.42032;120.657;10;Sulawesi Tengah;Poso;Poso Pesisir;Kasiguncu;;2019-10-01;Jl. Bandara Kasiguncu Poso
POKJI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.053,112.812;-8.053;112.812;;JawaTimur;;;;;2023-01-01;Drigu, Poncokusumo, Kabupaten Malang, Jawa Timur, Jawa, 65157, Indonesia
PPCM;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-3.727,119.7269;-3.727;119.7269;48;Sulawesi Selatan;Pinrang;Patampanua;;;2019-10-01;Benteng, Pinrang, Sulawesi Selatan, Sulawesi, Indonesia
PPI;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=-0.455597,100.39718;-0.455597;100.39718;810;Sumatera Barat;Padang Panjang;Padang Panjang Barat;Silaing Bawah;;2005-10-04;Jl. St. Syahrir Silaing Bawah
PPJI;Stasiun Gempa Bumi;;Stageof Pasuruan;;https://www.google.com/maps?q=-7.7054,112.635;-7.7054;112.635;913;Jawa Timur;Pasuruan;Prigen;Mlaten;;1900-01-01;Jl. Sedap malam no.9
